circuitId,length,laps,distance,turns,drs,fastest_lap,fastest_race_lap
1,5.278,58,306.124,14,4,1:15.096,1:19.813
2,5.543,56,310.408,15,2,1:30.076,1:34.080
3,5.412,57,308.484,15,3,1:27.264,1:31.447
4,4.657,66,307.362,14,2,1:11.998,1:15.743
5,5.338,58,309.604,14,2,1:22.868,1:24.770
6,3.337,78,260.286,19,1,1:09.954,1:12.909
7,4.361,70,305.270,14,3,1:10.240,1:13.078
8,4.411,70,308.770,17,2,1:13.698,1:15.377
9,5.891,52,306.198,18,2,1:24.303,1:27.097
10,4.574,67,306.458,17,2,1:11.212,1:13.780
11,4.381,70,306.630,14,2,1:13.447,1:16.627
12,5.419,57,308.883,25,1,1:36.975,1:38.683
13,7.004,44,308.052,19,2,1:40.510,1:44.701
14,5.793,53,306.720,11,2,1:18.792,1:20.901
15,4.927,62,305.337,19,4,1:29.525,1:33.808
16,4.563,67,305.416,16,1,1:18.404,1:14.300
17,5.451,56,305.066,16,2,1:30.641,1:32.238
18,4.309,71,305.879,15,2,1:07.281,1:10.540
19,4.192,73,306.088,13,,,1:10.223
20,5.148,60,308.880,15,2,1:25.270,1:28.139
21,4.909,63,309.049,19,1,1:13.609,1:15.484
22,5.807,53,307.471,18,1,1:26.983,1:30.965
80,6.201,50,309.958,17,2,1:32.310,1:33.365
24,5.281,58,306.183,16,2,1:22.109,1:25.637
25,4.259,72,306.648,19,,1:25.852,1:27.981
26,4.428,69,306.400,15,,1:23.135,1:23.135
27,4.360,70,305.200,13,,1:20.330,1:22.446
28,3.703,83,307.349,13,,1:10.218,1:14.023
29,3.780,79,298.600,16,,1:13.371,1:15.381
30,4.261,72,306.792,13,,1:15.696,1:17.578
31,4.020,76,305.748,12,,1:10.458,1:18.029
32,4.304,71,305.354,17,3,1:10.399,1:17.774
33,3.721,81,301.401,15,,1:21.434,1:21.434
34,5.842,53,309.690,15,2,1:28.319,1:32.740
35,5.615,55,308.630,18,2,1:35.585,1:39.605
36,5.031,61,305.891,11,,1:25.302,1:32.507
37,4.023,63,253.449,18,,1:38.301,1:40.464
38,4.207,76,305.748,9,,1:06.963,1:09.593
39,4.259,72,306.587,14,2,1:08.662,1:11.097
40,4.262,70,298.300,15,,1:14.846,1:19.294
41,3.801,81,307.881,12,,1:01.380,1:02.985
42,3.901,67,261.367,23,,1:37.041,1:45.353
43,3.275,75,245.625,18,,1:26.117,1:28.330
44,6.201,50,309.958,17,2,1:32.310,1:33.365
45,3.404,80,272.320,15,,1:16.440,1:16.440
46,5.435,59,320.665,11,,1:33.291,1:34.068
47,4.031,75,302.325,7,,1:21.070,1:24.836
48,3.957,75,296.775,10,,,1:13.299
49,3.791,75,284.325,12,,1:22.100,1:23.800
50,3.724,84,312.816,7,,1:09.820,1:11.310
51,8.055,38,306.090,48,,,2:53.900
52,4.265,90,383.850,15,,,1:31.500
53,6.542,,,12,,,2:11.400
54,4.430,80,354.400,8,,1:36.700,1:36.700
55,8.302,48,398.496,7,,,2:11.300
56,3.920,80,313.600,8,,,1:27.600
57,3.200,105,336.000,4,,1:09.800,1:10.560
58,4.828,75,362.100,8,,,1:51.800
59,7.406,55,407.385,19,,2:25.560,2:27.520
60,5.271,75,395.325,9,,1:54.400,1:56.300
61,8.300,30,249.000,4,,1:57.800,2:04.500
62,5.440,62,337.280,9,,,2:05.070
63,8.660,42,363.720,14,,,3:05.000
64,7.603,53,403.754,14,,2:23.100,2:22.500
65,25.579,18,460.420,49,,9:44.600,9:44.600
66,7.280,66,480.480,12,,2:34.500,2:39.700
67,6.316,80,505.280,10,,2:24.100,2:20.400
68,5.125,60,307.249,16,2,1:24.119,1:27.249
69,5.513,56,308.405,20,2,1:32.029,1:36.169
70,4.326,71,307.018,10,3,1:02.939,1:05.619
71,5.848,53,309.745,18,2,1:31.304,1:35.761
73,6.003,51,306.049,20,2,1:40.203,1:43.009
75,4.653,66,306.826,15,2,1:16.466,1:18.750
76,5.245,59,309.497,15,1,1:15.144,1:18.833
77,6.174,50,308.450,27,3,1:27.294,1:30.734
78,5.419,57,308.611,16,1,1:19.387,1:22.384
79,5.412,57,308.326,19,3,1:26.204,1:29.708
