year,impact,label
1950,high,Inaugural Formula 1 regulations
1952,high,World Championship run to Formula 2 rules
1953,high,World Championship run to Formula 2 rules
1961,high,1.5L engine formula introduced
1966,high,3.0L engine formula introduced
1968,high,Aerodynamic wings legalized
1970,medium,Major safety and fuel system regulations
1973,medium,Rear wing size restrictions
1977,medium,Turbo engines permitted
1983,high,Ground-effect banned (flat-bottom rule)
1989,high,Turbo engines banned
1994,high,Electronic driver aids banned
1995,medium,Refuelling reintroduced and safety-driven aero changes
1998,high,Grooved tyres and narrower cars
2001,medium,Aero downforce reduced and traction control legalized mid-season
2005,medium,Single-tyre rule for races
2009,high,Major aerodynamic overhaul and slick tyres return
2010,medium,Refuelling banned
2014,high,Hybrid turbo power units introduced
2017,high,Wider cars and tyres
2018,low,Halo cockpit protection introduced
2021,medium,Ground-effect floor simplification and budget cap era begins
2022,high,Ground-effect era returns with new aero and 18-inch tyres
2023,low,Porpoising-related floor edge and ride-height changes
2025,low,Minimum weight increase and fastest lap point removed
2026,high,New power unit and active aerodynamics regulations
